IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	Max DRAM IFMAP Read BW,	Max DRAM Filter Read BW,	Max DRAM OFMAP Write BW,	Max SRAM Read BW,	Max SRAM OFMAP Write BW,
524288,	524288,	262144,	Embedding,	10,	10,	10,	260,	4,
524288,	524288,	262144,	Attn_Xmap,	10,	10,	10,	260,	4,
524288,	524288,	262144,	Attn_Kmap,	10,	10,	10,	260,	4,
524288,	524288,	262144,	Attn_Qmap,	10,	10,	10,	260,	4,
524288,	524288,	262144,	Attn_QxK',	10,	10,	10,	260,	4,
524288,	524288,	262144,	Attn_SFMXxV,	10,	10,	10,	260,	1,
524288,	524288,	262144,	Attn_Concat_map,	10,	10,	10,	260,	4,
524288,	524288,	262144,	FFN1,	10,	10,	10,	260,	4,
524288,	524288,	262144,	FFN2,	10,	10,	10,	260,	4,
